,Unnamed: 0,Source File,Animal Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Temperament,Training,title,genus,species,name
1760,1760,httpsa-z-animalscomanimalsnorwegian buhund.html,Norwegian Buhund,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Norwegian Buhund once worked on Norse homesteads,,,,,,,Omnivore,,,,,,,,Hair,,13 – 15 years,40 lbs,,,,"Smart, confident, and hard-working",,Norwegian Buhund,,,norwegian buhund
1761,1761,httpsa-z-animalscomanimalsnorwegian elkhound.html,Norwegian Elkhound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,This breed traveled with the Vikings!,,,,,,,Omnivore,5-10 puppies,,,,,,,Hair,,12-15,40-60,,,,"Strong-willed, loyal, playful",,Norwegian Elkhound,,,norwegian elkhound
1762,1762,httpsa-z-animalscomanimalsnorwegian forest.html,Norwegian Forest,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,Norwegian Forest cats were favored by the goddess Freyja in Norse mythology.,,,,skogkatt,,,Omnivore,4,,Wegie,,,"Has a long, thick double coat of fur!",Long-hair,Hair,,14 - 16 years,"12 - 20 pounds (adult male), 8 - 18 pounds (adult female)",,,,"Intelligent, loving and affectionate",,,,,
1763,1763,httpsa-z-animalscomanimalsnorwegian lundehund.html,Norwegian Lundehund,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,This breed is also called the Norsk Lundehund and the Norwegian Puffin Dog,,,,,,,Omnivore,,,,,,,,Hair,,12 to 15 years,30 lbs,,,,"Alert, loyal, and energetic",,,,,
1764,1764,httpsa-z-animalscomanimalsnorwich terrier.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,1765,httpsa-z-animalscomanimalsnose-horned viper.html,Nose-Horned Viper,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,Vipera ammodytes,"Rodents, rabbits, birds",,,The fangs of a nose-horned viper can be as long as half an inch!,,,,,,"Shrublands, the edges of forests, and rocky hillsides",,1-20 snakelets,,Nose-horned viper,,Europe,,,Scales,,Up to 22 years,,2.5-3 ft,,,,,,,,
1766,1766,httpsa-z-animalscomanimalsnova scotia duck tolling retriever.html,Nova Scotia Duck Tolling Retriever,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Toller is one of only two breeds that hunters use as decoys while hunting.,,,,,,,Omnivore,,,,,,,,Hair,,14 years,51 lbs,,,,"Energetic and friendly, they make a great choice for families that can meet their exercise needs.",,Nova Scotia Duck Tolling Retriever,,,nova scotia duck tolling retriever
1767,1767,httpsa-z-animalscomanimalsnubian goat.html,Nubian Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,kid,Herd,"The Nubian is a relatively large, proud, and graceful dairy goat that traces its ancestry to India and Egypt.",924 million,,,,150 days,,Herbivore,2,,,1.0,,,,Hair,,"15 years in captivity, 12 years in the wild",135lbs,,six months,,,,,,,
1768,1768,httpsa-z-animalscomanimalsnudibranch.html,Nudibranch,Animalia,Mollusca,Gastropoda,Nudibranchia,,,Nudibranchia,"Other nudibranches or sea slugs, coral, anemones, sponges, hydrozoans, planktonic invertebrates, sea butterflies, or other sea creatures depending on the species",,Solitary,They get toxins from their prey to use it against predators.,unknown,,Bright colors and various forms,Sea slug,5-50 days depending on the species,"Saltwater, brackish water",Carnivore,,,Sea slug,,,,,Smooth,-2.8 mph,,,,,,,,Nudibranch,,,nudibranch
1769,1769,httpsa-z-animalscomanimalsnumbat.html,Numbat,Animalia,Chordata,Mammalia,Dasyuromorphia,Myrmecobiidae,Myrmecobius,Myrmecobius fasciatus,,,,,,,,,,Eucalyptus woodland and grassland,Omnivore,4,Sociable,,,,"There are less than 1,000 left in the wild!",,Fur,15 mph,4-8 years,280-550 g (9.9-19 oz),,,,,,,,,
1770,1770,httpsa-z-animalscomanimalsnuralagus.html,Nuralagus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Nuralagus,,,,"Pair</li><li class=""list-item"">Semi-social",the Nuralagus is the biggest rabbit on record,,,,Minorcan giant rabbit,,,Omnivore,,,,,,,,,,,12kg (26lb),,,,,,Nuralagus,nuralagus,rex,
1771,1771,httpsa-z-animalscomanimalsnurse shark.html,Nurse Shark,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,Ginglymostoma cirratum,,,,,,,,,,Warm waters and tropical coastal regions,Carnivore,20,Solitary,,,,Commonly found in Central American waters!,,Smooth,25 mph,20-25 years,90-150kg (198-330lbs),,,,,,,,,
1772,1772,httpsa-z-animalscomanimalsnut weevil.html,Nut Weevil,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Curculio,,,Larvae,Solitary,Bore holes in tree nuts and lay their eggs inside,,Predators,"Long, snout-like rostrum",Seed weevils,,"Woodlands, forests, and orchards",Herbivore,,Solitary,Nut weevil,36.0,Europe and North America,,,Scales,,2 years,,4-15 millimeters,Immediately after reaching adulthood,,,,,,,
1773,1773,httpsa-z-animalscomanimalsnuthatch.html,Nuthatch,Animalia,Chordata,Aves,Passeriformes,Sittadae,Sitta,,"Insects, snails, other invertebrates",chicks,"Colonial Nesting</li><li class=""list-item"">Pair",Nuthatches spend a lot of their time upside down.,,Habitat destruction,"Hopping up and down trees to forage, often upside down.",,,,Omnivore,,"Diurnal</li><li class=""list-item"">Colony</li><li class=""list-item"">Pair",,28.0,,,,Feathers,,"2 to 3.5 years, but sometimes up to 10 years",10 g to about 45 g,From about 4 to 7 inches,1 year,,,,Nuthatch,,,nuthatches
1774,1774,httpsa-z-animalscomanimalsnutria.html,Nutria,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Myocastor,Myocastor coypus,,,"Colony</li><li class=""list-item"">Colonial Nesting</li><li class=""list-item"">Social</li><li class=""list-item"">Territorial","An invasive species, one female nutria can birth up to 200 babies in just a few years of living!",,,"Their long, orange front teeth","Nutria, coypu, coypu rat, nutria rat, swamp beaver",127 to 135 days,"wetlands, marshes, riverbanks, ponds, lakes",Herbivore,2 to 13 young,"Crepuscular</li><li class=""list-item"">Colony</li><li class=""list-item"">Diurnal/Nocturnal</li><li class=""list-item"">or Nocturnal Depending on Region and Season","nutria, coypu, coipu",,"Argentina, Bolivia, Paraguay, Uruguay, Brazil, Chile, United States, Canada, United Kingdom, Denmark, Greece, Japan, Kenya, France, Italy, Germany and Sweden",,colony,,,three to ten years,15 to 22 pounds,17 to 25 inches for the body and 10 to 16 inches for the tail,"three to nine months for the females, and four to nine months for the males",seven to eight weeks,aggressive,,Nutria,myocastor,coypus,nutria
1775,1775,httpsa-z-animalscomanimalsnyala.html,Nyala,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus angasii,,Calf,Gregarious,They have a high-pitched alarm call that sounds like a barking dog.,"30,000, conservation status is least concern","Poaching, loss of habitat to an extent",Males and females are so different that they can be taken for different species.,Lowland nyala,7 to 8 months,Dry savannas and woodland near fresh water,Herbivore,1,,Nyala,1.0,Southeastern Africa,,Herd,Hair,36 mph,18.5 year,"Males weigh 216 to 275.6 pounds, females 121 to 150 pounds",53 to 77 inches,"11 to 12 months for females, 18 months for males",7 months,,,Nyala,,,nyala
1776,1776,httpsa-z-animalscomanimalsoak toad.html,Oak Toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus quercicus,"Ants, mites and other smaller insects",Tadpole,Solitary,The toad doesn't hop.,,Snakes,Tiny size,,4 to 6 weeks,"Pine forests, sandy flatwoods, and oak scrub",Carnivore,300 to 500,,,,North America,,,,,1.9 in capacity,,1.3 inches,,,,,,,,
1777,1777,httpsa-z-animalscomanimalsoarfish.html,Oarfish,Animalia,Chordata,Actinopterygii,Lampriformes,Regalecidae,Regalecus,Regalecus glesne,"Krill, shrimp, plankton, squid, and small fish",,Solitary,The Giant oarfish (Regalecus glesne) holds the Guinness Book of World Records for the longest bony fish in the world.,,,Elongated body in the shape of a ribbon,"Ribbon Fish, Streamer Fish, King of Herrings, Pacific Oarfish",,Deep Ocean,Carnivore,,,Oarfish,2.0,,,,Smooth,,,,,,,,,Oarfish,,,oarfish
1778,1778,httpsa-z-animalscomanimalsocean perch.html,Ocean Perch,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,Sebastes alutus,,Fry,School,"As a scorpionfish, the ocean perch has spines along its back!",,Overfishing,Dorsal spines,"Pacific ocean perch, Pacific rockfish, red perch, red bream, rose fish",,,,,Nocturnal,,1.0,,,,Scales,,,,,Approximately 10 years,,,,,,,
1779,1779,httpsa-z-animalscomanimalsocean pout.html,Ocean Pout,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Zoarcidae,Zoarces,Zoarces americanus,"Invertebrates, crustaceans, and mollusks",Fry,Solitary,Females guard their eggs for up to 3 months,Unknown,Environmental change,"Large, fleshy lips",,,Rocky or sandy substrates,Carnivore,,,,,Between Newfoundland and North Carolina,,,,,,,,,,,,,,,
1780,1780,httpsa-z-animalscomanimalsocean whitefish.html,Ocean Whitefish,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Caulolatilus,Caulolatilus princeps,"Krill, crabs, shrimp, squid, fish",Larvae,Solitary,Common around Southern California,,,Fleshy ridge in front of the dorsal fin,,,Rocky reefs and kelp beds,Carnivore,,Diurnal,,1.0,Eastern Pacific,,,Scales,,Up to 13 years,Up to 13 pounds,12 to 40 inches,3 to 5 years,,,,,,,
1781,1781,httpsa-z-animalscomanimalsoceanic whitetip shark.html,Oceanic Whitetip Shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. longimanus,Fish,,Solitary,,,,,,,,Omnivore,,,,,,,,Leather,,Up to 25 years,Around 200 lbs,Up to 13 ft,10 to 15.8 years,,,,,,,
1782,1782,httpsa-z-animalscomanimalsocellated turkey.html,Ocellated Turkey,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Meleagris ocellata,"beetles, moths, ants, grains, seeds, nuts, and leaves",Poults,Social,"These birds are timid and hard to spot, but their noisy gobbles give them away.","20,000 to 50,000","hunting for sport and food, habitat fragmentation, and chicken-borne diseases",Iridescent colors and spots (ocelli) on tail feathers,,,Tropical and evergreen forests,Omnivore,,Diurnal,Ocellated turkey,,"North America, <a href=""https://a-z-animals.com/animals/location/central-america/"">Central America</a>",,,Feathers,,4.5 years,6 to 11 pounds,28 to 48 inches,two years,,,,,,,
1783,1783,httpsa-z-animalscomanimalsocelot.html,Ocelot,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,"Rodents, Lizards, Deer",Kitten,Solitary,Also known as the Painted Leopard!,"800,000",Habitat loss,"Rosettes, spots and stripes on fur",Painted Leopard,79 - 85 days,"Tropical jungle, grassland and marshes",Carnivore,2,Nocturnal/Crepuscular,Ocelot,1.0,South America,Also known as the Painted Leopard!,Mammal,Fur,38 mph,8 - 12 years,11.5kg - 16kg (25lbs - 35lbs),55cm - 100cm (22in - 40in),2 - 3 years,6 weeks,,,Ocelot,leopardus,pardalis,ocelot
1784,1784,httpsa-z-animalscomanimalsoctopus.html,Octopus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,,Octopus Vulgaris,,,,,,,,,,Tropical and temperate waters worldwide,Omnivore,80,Solitary,,,,There are around 300 different species!,,Smooth,27 mph,6 months-5 years,5-75kg (11-165lbs),,,,,,,,,
1785,1785,httpsa-z-animalscomanimalsoenpelli python.html,Oenpelli python,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Nyctophilopython,Nyctophilopython oenpelliensis,"birds, and small mammals",Hatchlings,Solitary,Oenpelli pythons are unusually thin for a python.,,Invasive animals,,"Oenpelli Rock Python, Oenpelli Python, Nawaran",,,,6-9,"Nocturnal</li><li class=""list-item"">Crepuscular",Oenpelli Rock Python,2.0,"Northern Territory, Australia",,,Scales,,,,,,,,,Oenpelli python,nyctophilopython,oenpelliensis,oenpelli python
1786,1786,httpsa-z-animalscomanimalsoilfish.html,Oilfish,Animalia,Chordata,Actinopterygii,Scombriformes,Gempylidae,Ruvettus,Ruvettus pretiosus,"squid, small fish, crustaceans",,Pair,"They live in deep water as far as 2,600 feet below the water’s surface.",,Bycatch from fisheries,"Large eyes, dark-colored scales",,,deep water in temperate and tropical water,Carnivore,,,Oilfish,1.0,"Atlantic Ocean, Pacific Ocean, Mediterranean Sea",,,Scales,,,up to 140 pounds,5 to 10 feet,,,,,Oilfish,ruvettus,pretiosus,oilfish
1787,1787,httpsa-z-animalscomanimalsokapi.html,Okapi,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Okapia,Okapia johnstoni,"Leaves, shoots, fruit",Calf,Solitary,Eats more than 100 different types of plants!,"10,000-35,000",Habitat loss,Horizontal white stripes on rear and legs,Forest zebra,15 months,Dense mountain rainforest,Herbivore,1,Diurnal,Okapi,1.0,Central Africa,Eats more than 100 different types of plants!,Mammal,Fur,37 mph,15-20 years in capitivity,200-300 kg (440-660 lbs),1.5-2 m (4.9-6.5 ft),2-3 years,6 months,,,Okapi,,,okapi
1788,1788,httpsa-z-animalscomanimalsold english sheepdog.html,Old English Sheepdog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,,,Old English Sheepdog,,,"Intelligent, sociable and playful!",Herd,Hair,,12 years,30kg (66lbs),,,,,,Old English Sheepdog,,,old english sheepdog
1789,1789,httpsa-z-animalscomanimalsold house borer.html,Old House Borer,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Hylotrupes,Hylotrupes bajulus,,Larvae,Infestation,"Depending on the habitat and climate, these beetles can live between 2 to 10 years, often staying in their larval stage for several years, making them extremely dangerous to wooden structures.",,,,"Longhorn beetle, European house borer, and Italian beetle",,Softwoods like sapwood,Omnivore,,Nocturnal,Old house borer,-1.0,"Europe, Africa, North American, South America, Asia, Australia",,,Shell,, 2 to 10 years,,1 inch,,,,,,,,
1790,1790,httpsa-z-animalscomanimalsoleander hawk moth.html,Oleander Hawk Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Daphnis,Daphnis nerii,,Larvae,Solitary,"Oleander hawk moth caterpillars feed on the foliage of oleander, an extremely toxic plant to which they are immune.",,"Birds, bats, lizards",,Army green moth,,,Herbivore,,,Oleander hawk moth,,,,,,12 mph,10-30 days,,8 to 10 cm,,,,,,,,
1791,1791,httpsa-z-animalscomanimalsolingo.html,Olingo,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassaricyon,Bassaricyon gabbii,"insects, small mammals, birds",,"Solitary/Group</li><li class=""list-item"">Largely solitary",Olingos are part of the raccoon family.,,,,,73 to 74 days,"arboreal, lowland, highland, montane",Omnivore,one,"Nocturnal</li><li class=""list-item"">Solitary</li><li class=""list-item"">Group",olingo,4.0,Central and South America,,,Fur,,25 in captivity,2.6 to 3.1 pounds,14 to 20 inches,21 to 24 months,,,,,,,
1792,1792,httpsa-z-animalscomanimalsolive baboon.html,Olive Baboon,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio anubis,"Rodents, birds, insects, fruits, roots, seeds, leaves, bark, flowers, and more",infant,,Olive baboons will sometimes form strong friendships with each other,,Hunting and habitat loss,The long canines on the male,Anubis baboon,180 days,"Savannahs, grasslands, deserts, and rainforests",Omnivore,one,,Olive Baboon,1.0,Central Africa,,,Fur,,25 years,30-55 pounds,19-30 inches,25 years,,,,,,,
